,state,positive,negative,totalTestResults,hospitalizedCumulative,recovered,death,hospitalized,total,date_new,state_full,Lat,Long
197,MT,11242.0,310276.0,321518.0,650.0,8634.0,165.0,650.0,321518,2020-09-24,Montana,46.921925,-110.454353
198,NC,198189.0,2672002.0,2870191.0,,176422.0,3356.0,,2870191,2020-09-24,North Carolina,35.630066,-79.806419
199,ND,19451.0,213662.0,582104.0,777.0,15757.0,156.0,777.0,233113,2020-09-24,North Dakota,47.528912,-99.784012
200,NE,42278.0,392091.0,434369.0,2247.0,31383.0,462.0,2247.0,434369,2020-09-24,Nebraska,41.12537,-98.268082
201,NH,8044.0,239107.0,417689.0,732.0,7325.0,438.0,732.0,247151,2020-09-24,New Hampshire,43.452492,-71.563896
202,NJ,201552.0,3250252.0,3451804.0,23252.0,34650.0,16091.0,23252.0,3451804,2020-09-24,New Jersey,40.298904,-74.521011
203,NM,27987.0,850419.0,878406.0,3388.0,15669.0,857.0,3388.0,878406,2020-09-24,New Mexico,34.840515,-106.248482
204,NV,77197.0,598291.0,675488.0,,2062.0,1564.0,,675488,2020-09-24,Nevada,38.313515,-117.055374
205,NY,452847.0,9775798.0,10228645.0,89995.0,76382.0,25439.0,89995.0,10228645,2020-09-24,New York,42.165726,-74.948051
206,OH,147744.0,2807971.0,2955715.0,15051.0,127239.0,4715.0,15051.0,2955715,2020-09-24,Ohio,40.388783,-82.764915
207,OK,81244.0,1045682.0,1126926.0,6130.0,67807.0,981.0,6130.0,1134356,2020-09-24,Oklahoma,35.565342,-96.928917
208,OR,31865.0,618633.0,650498.0,2468.0,5484.0,539.0,2468.0,650498,2020-09-24,Oregon,44.572021,-122.070938
209,PA,153397.0,1803470.0,1956867.0,,125785.0,8079.0,,1956867,2020-09-24,Pennsylvania,40.590752,-77.209755
210,PR,43842.0,305972.0,349814.0,,,627.0,,349814,2020-09-24,Puerto Rico,18.22,-66.3
211,RI,24311.0,303272.0,717047.0,2725.0,2278.0,1106.0,2725.0,327583,2020-09-24,Rhode Island,41.680893,-71.51178
212,SC,142707.0,1064399.0,1207106.0,8945.0,68079.0,3279.0,8945.0,1207106,2020-09-24,South Carolina,33.856892,-80.945007
